county,precinct,office,district,candidate,party,votes,early_voting,election_day,provisional
Union,Berkeley Heights District 1,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,365,,,
Union,Berkeley Heights District 2,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,248,,,
Union,Berkeley Heights District 3,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,240,,,
Union,Berkeley Heights District 4,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,254,,,
Union,Berkeley Heights District 5,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,283,,,
Union,Berkeley Heights District 6,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,227,,,
Union,Berkeley Heights District 7,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,356,,,
Union,Berkeley Heights District 8,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,435,,,
Union,Berkeley Heights District 9,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,295,,,
Union,Berkeley Heights District 10,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,209,,,
Union,Berkeley Heights District 11,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,160,,,
Union,Berkeley Heights Mail-In Ballot,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,367,,,
Union,Berkeley Heights Provisional,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,12,,,
Union,Berkeley Heights Overseas,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,31,,,
Union,Clark Ward 1 District 1,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,151,,,
Union,Clark Ward 1 District 2,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,175,,,
Union,Clark Ward 1 District 3,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,180,,,
Union,Clark Ward 1 District 4,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,117,,,
Union,Clark Ward 2 District 1,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,186,,,
Union,Clark Ward 2 District 2,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,299,,,
Union,Clark Ward 2 District 3,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,187,,,
Union,Clark Ward 2 District 4,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,135,,,
Union,Clark Ward 3 District 1,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,153,,,
Union,Clark Ward 3 District 2,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,167,,,
Union,Clark Ward 3 District 3,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,128,,,
Union,Clark Ward 3 District 4,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,190,,,
Union,Clark Ward 4 District 1,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,124,,,
Union,Clark Ward 4 District 2,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,128,,,
Union,Clark Ward 4 District 3,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,135,,,
Union,Clark Ward 4 District 4,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,157,,,
Union,Clark Ward 1 Mail-In Ballot,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,86,,,
Union,Clark Ward 2 Mail-In Ballot,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,99,,,
Union,Clark Ward 3 Mail-In Ballot,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,74,,,
Union,Clark Ward 4 Mail-In Ballot,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,63,,,
Union,Clark Ward 1 Provisional,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,8,,,
Union,Clark Ward 2 Provisional,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,9,,,
Union,Clark Ward 3 Provisional,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,3,,,
Union,Clark Ward 4 Provisional,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,3,,,
Union,Clark Ward 1 Overseas,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,6,,,
Union,Clark Ward 2 Overseas,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,0,,,
Union,Clark Ward 3 Overseas,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,2,,,
Union,Clark Ward 4 Overseas,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,2,,,
Union,Cranford District 1,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,418,,,
Union,Cranford District 2,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,147,,,
Union,Cranford District 3,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,202,,,
Union,Cranford District 4,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,160,,,
Union,Cranford District 5,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,190,,,
Union,Cranford District 6,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,190,,,
Union,Cranford District 7,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,259,,,
Union,Cranford District 8,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,212,,,
Union,Cranford District 9,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,225,,,
Union,Cranford District 10,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,202,,,
Union,Cranford District 11,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,154,,,
Union,Cranford District 12,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,227,,,
Union,Cranford District 13,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,234,,,
Union,Cranford District 14,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,194,,,
Union,Cranford District 15,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,266,,,
Union,Cranford District 16,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,182,,,
Union,Cranford District 17,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,144,,,
Union,Cranford District 18,President,,Hillary Rodham CLINTON Timothy Michael KAINE,Dem,158,,,
